time,step,vehicle_count,av_count,gasoline_count,total_stops,total_co2,gasoline_co2,av_co2
284.0,284,0,0,2,15,7814.315662643718,7814.315662643718,0.0
285.0,285,0,0,2,15,7821.8347373038105,7821.8347373038105,0.0
286.0,286,0,0,2,15,7825.796887610824,7825.796887610824,0.0
287.0,287,0,0,2,15,7825.796887610824,7825.796887610824,0.0
288.0,288,0,0,2,15,7833.979823178157,7833.979823178157,0.0
289.0,289,0,0,2,15,7838.5892834797405,7838.5892834797405,0.0
290.0,290,0,0,2,15,7845.574058203852,7845.574058203852,0.0
291.0,291,0,0,2,15,7845.574058203852,7845.574058203852,0.0
292.0,292,0,0,2,15,7851.153733158981,7851.153733158981,0.0
293.0,293,0,0,2,15,7851.153733158981,7851.153733158981,0.0
294.0,294,0,0,2,15,7856.687434886363,7856.687434886363,0.0
295.0,295,0,0,2,15,7856.687434886363,7856.687434886363,0.0
296.0,296,0,0,2,15,7863.4778803537165,7863.4778803537165,0.0
297.0,297,0,0,2,15,7868.893550309497,7868.893550309497,0.0
298.0,298,0,0,2,15,7877.400853374401,7877.400853374401,0.0
299.0,299,0,0,2,15,7885.206992808419,7885.206992808419,0.0
300.0,300,0,0,2,15,7893.46971211432,7893.46971211432,0.0
